NOC,Gold,Silver,Bronze
USA,1035,802,708
URS,394,317,294
GBR,278,317,300
GER,235,261,283
FRA,234,256,287
CHN,227,162,153
ITA,219,191,198
HUN,178,154,172
GDR,153,129,127
RUS,153,143,164
SWE,150,175,188
AUS,147,167,192
JPN,142,134,161
FIN,104,86,120
KOR,90,85,89
NED,88,97,114
ROU,88,95,120
CUB,77,67,70
POL,69,87,134
CAN,64,104,137
NOR,59,51,48
SUI,58,82,69
FRG,56,67,81
BUL,51,86,80
TCH,49,50,47
DEN,49,81,82
NZL,47,27,44
EUN,45,38,29
ESP,44,63,41
BEL,44,59,63
GRE,42,57,52
TUR,40,27,28
UKR,35,32,59
KEN,31,38,31
BRA,30,36,62
AUT,26,40,42
YUG,26,29,28
RSA,25,33,30
ETH,22,9,22
JAM,22,32,22
ARG,21,25,28
KAZ,19,22,29
IRI,18,21,29
PRK,16,15,23
CZE,15,17,22
BLR,13,28,43
MEX,13,24,30
CRO,11,10,12
SVK,9,11,8
UZB,9,7,17
IND,9,7,12
EST,9,9,16
IRL,9,11,13
THA,9,8,13
GEO,8,6,18
EGY,7,8,12
AZE,7,12,25
INA,7,12,11
LTU,6,6,13
MAR,6,5,12
BAH,6,2,6
SLO,5,8,10
ALG,5,4,8
COL,5,9,14
LUX,4,2,0
POR,4,8,12
DOM,3,2,2
NGR,3,8,13
PAK,3,3,4
SRB,3,6,6
LAT,3,11,5
ZIM,3,4,1
TUN,3,3,7
TPE,3,7,14
TTO,3,5,11
ANZ,3,4,5
CMR,3,1,1
ARM,2,5,9
URU,2,2,6
MGL,2,10,14
CHI,2,7,4
UGA,2,3,2
VEN,2,3,10
SCG,2,4,3
HAI,1,1,1
ISR,1,1,7
TJK,1,1,2
UAE,1,0,1
SUR,1,0,1
SYR,1,1,1
SGP,1,2,2
CRC,1,1,2
FIJ,1,0,0
BRN,1,1,1
BDI,1,1,0
HKG,1,1,1
GRN,1,1,0
IOA,1,1,3
CIV,1,1,1
ECU,1,1,0
MOZ,1,0,1
JOR,1,0,0
PUR,1,2,6
PAN,1,0,2
VIE,1,3,0
KOS,1,0,0
PER,1,3,0
ISV,0,1,0
IVB,0,0,0
GAM,0,0,0
GBS,0,0,0
FSM,0,0,0
GAB,0,1,0
GEQ,0,0,0
GHA,0,1,3
GUA,0,1,0
GUM,0,0,0
ESA,0,0,0
CYP,0,1,0
CRT,0,0,0
IRQ,0,0,1
ISL,0,2,2
HON,0,0,0
GUY,0,0,1
GUI,0,0,0
COK,0,0,0
ERI,0,0,1
DMA,0,0,0
DJI,0,0,1
BRU,0,0,0
BUR,0,0,0
CAF,0,0,0
CAM,0,0,0
CAY,0,0,0
BER,0,0,1
BEN,0,0,0
BAN,0,0,0
BAR,0,0,1
ASA,0,0,0
BIZ,0,0,0
BIH,0,0,0
BHU,0,0,0
BOT,0,1,0
ANG,0,0,0
ALB,0,0,0
AHO,0,1,0
AFG,0,0,2
AND,0,0,0
ANT,0,0,0
ARU,0,0,0
BOH,0,1,6
BOL,0,0,0
COM,0,0,0
CPV,0,0,0
CGO,0,0,0
CHA,0,0,0
COD,0,0,0
MHL,0,0,0
MKD,0,0,1
LBR,0,0,0
LBA,0,0,0
LAO,0,0,0
LCA,0,0,0
KIR,0,0,0
KUW,0,0,2
KGZ,0,1,2
PHI,0,3,7
PLE,0,0,0
PLW,0,0,0
PNG,0,0,0
OMA,0,0,0
NRU,0,0,0
PAR,0,1,0
MLT,0,0,0
MYA,0,0,0
MTN,0,0,0
NBO,0,0,0
NAM,0,4,0
NCA,0,0,0
NEP,0,0,0
NFL,0,0,0
NIG,0,1,1
MLI,0,0,0
MNE,0,1,0
MRI,0,0,1
MON,0,0,1
KSA,0,1,2
LIB,0,2,2
LIE,0,0,0
LES,0,0,0
MAL,0,0,0
MAD,0,0,0
MAS,0,7,4
MAW,0,0,0
MDV,0,0,0
MDA,0,2,5
ROT,0,0,0
SAA,0,0,0
TAN,0,2,0
SWZ,0,0,0
SOL,0,0,0
SOM,0,0,0
SRI,0,2,0
SSD,0,0,0
STP,0,0,0
SUD,0,1,0
SMR,0,0,0
RWA,0,0,0
RHO,0,0,0
SAM,0,0,0
SEY,0,0,0
SEN,0,1,0
SKN,0,0,0
SLE,0,0,0
QAT,0,1,4
UNK,0,0,0
TUV,0,0,0
UAR,0,1,1
TKM,0,0,0
TGA,0,1,0
TOG,0,0,1
TLS,0,0,0
VIN,0,0,0
VAN,0,0,0
VNM,0,0,0
WIF,0,0,2
YEM,0,0,0
YAR,0,0,0
YMD,0,0,0
ZAM,0,1,1
